配置名称,目标类别,PyTorch_x1,PyTorch_y1,PyTorch_x2,PyTorch_y2,PyTorch置信度,OpenVINO_x1,OpenVINO_y1,OpenVINO_x2,OpenVINO_y2,IoU,中心点偏移cx,中心点偏移cy
YOLOv26m PT CUDA vs OV FP32 GPU,Corn rust leaf,0.00,23.90,416.00,415.77,0.97,0.00,24.05,416.00,416.00,0.9990,0.00,0.19
YOLOv26m PT CUDA vs OV FP32 CPU,Corn rust leaf,0.00,23.90,416.00,415.77,0.97,0.00,23.91,416.00,415.77,1.0000,0.00,0.01
YOLOv26m PT CUDA vs OV FP16 GPU,Corn rust leaf,0.00,23.90,416.00,415.77,0.97,0.00,24.05,416.00,416.00,0.9990,0.00,0.19
YOLOv26m PT CUDA vs OV FP16 CPU,Corn rust leaf,0.00,23.90,416.00,415.77,0.97,0.00,23.88,416.00,415.77,0.9999,0.00,0.01
YOLOv26m PT CUDA vs OV INT8 GPU,Corn rust leaf,0.00,23.90,416.00,415.77,0.97,0.49,26.98,414.86,414.38,0.9847,0.33,0.84
YOLOv26m PT CUDA vs OV INT8 CPU,Corn rust leaf,0.00,23.90,416.00,415.77,0.97,0.39,13.09,414.90,415.17,0.9683,0.36,5.70
YOLOv26m PT CPU vs OV FP32 GPU,Corn rust leaf,0.00,23.91,416.00,415.77,0.97,0.00,24.05,416.00,416.00,0.9991,0.00,0.18
YOLOv26m PT CPU vs OV FP32 CPU,Corn rust leaf,0.00,23.91,416.00,415.77,0.97,0.00,23.91,416.00,415.77,1.0000,0.00,0.00
YOLOv26m PT CPU vs OV FP16 GPU,Corn rust leaf,0.00,23.91,416.00,415.77,0.97,0.00,24.05,416.00,416.00,0.9991,0.00,0.18
YOLOv26m PT CPU vs OV FP16 CPU,Corn rust leaf,0.00,23.91,416.00,415.77,0.97,0.00,23.88,416.00,415.77,0.9999,0.00,0.02
YOLOv26m PT CPU vs OV INT8 GPU,Corn rust leaf,0.00,23.91,416.00,415.77,0.97,0.49,26.98,414.86,414.38,0.9848,0.33,0.83
YOLOv26m PT CPU vs OV INT8 CPU,Corn rust leaf,0.00,23.91,416.00,415.77,0.97,0.39,13.09,414.90,415.17,0.9683,0.36,5.71
