epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.397,1.42177,3.25651,1.58081,0.17227,0.32017,0.13749,0.08672,1.50234,3.10474,1.69954,0.0803207,0.00019878,0.00019878
2,629.775,1.42719,2.8192,1.5884,0.44092,0.15224,0.08328,0.04348,1.70489,3.55197,2.01329,0.0605207,0.00039875,0.00039875
3,1197.93,1.46261,2.79188,1.6344,0.46818,0.19848,0.13343,0.07856,1.60394,3.57301,1.86284,0.0407206,0.0005986,0.0005986
4,1534.69,1.44915,2.71216,1.6182,0.32759,0.24724,0.12929,0.07267,1.63883,3.11591,1.84557,0.0209202,0.000798239,0.000798239
5,1846.44,1.42883,2.64344,1.60693,0.17344,0.31409,0.19201,0.1174,1.47775,2.7668,1.74438,0.00111953,0.000997576,0.000997576
6,2181.42,1.41912,2.5289,1.60187,0.3172,0.31897,0.22151,0.13757,1.47276,2.8029,1.73361,0.000998116,0.000998116,0.000998116
7,2580.08,1.39994,2.42883,1.57671,0.33611,0.31874,0.25346,0.16383,1.45647,2.36011,1.67835,0.000997288,0.000997288,0.000997288
8,2944.14,1.3705,2.37187,1.53919,0.4088,0.36972,0.32874,0.21935,1.37755,2.16574,1.61177,0.00099631,0.00099631,0.00099631
9,3271.06,1.36836,2.28955,1.54901,0.50831,0.36539,0.33878,0.22041,1.39555,2.32051,1.63397,0.000995183,0.000995183,0.000995183
10,3665.13,1.34319,2.24111,1.52628,0.39504,0.37445,0.35454,0.22659,1.40583,2.04585,1.61453,0.000993906,0.000993906,0.000993906
11,3957.15,1.33136,2.17145,1.51421,0.33769,0.431,0.3702,0.2395,1.37257,2.0094,1.62435,0.00099248,0.00099248,0.00099248
12,4335.38,1.30591,2.12908,1.49354,0.43472,0.425,0.39468,0.26503,1.33221,1.91918,1.53735,0.000990905,0.000990905,0.000990905
