epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,77.028,1.48137,4.58588,1.71014,0.19995,0.0796,0.0603,0.04161,1.28867,3.52029,1.62319,0.000596341,0.00019878,0.000596341,0.00019878,0.0807183,0.0803207,0.000596341,0.00019878
2,154.876,1.31693,3.54228,1.5542,0.3238,0.24985,0.16995,0.12733,1.235,2.64304,1.51334,0.00119625,0.00039875,0.00119625,0.00039875,0.0613182,0.0605207,0.00119625,0.00039875
3,241.061,1.24708,2.8409,1.45961,0.29632,0.34768,0.28124,0.20757,1.2074,2.21285,1.4325,0.0017958,0.0005986,0.0017958,0.0005986,0.0419178,0.0407206,0.0017958,0.0005986
4,313.418,1.22014,2.47423,1.4126,0.40718,0.38577,0.3735,0.27522,1.19347,2.00152,1.39086,0.00239472,0.000798239,0.00239472,0.000798239,0.0225167,0.0209202,0.00239472,0.000798239
5,378.63,1.17288,2.19761,1.36018,0.37994,0.46138,0.40304,0.29222,1.19605,1.86604,1.39436,0.00299273,0.000997576,0.00299273,0.000997576,0.00311468,0.00111953,0.00299273,0.000997576
6,443.337,1.15505,1.96215,1.33813,0.42559,0.47264,0.45015,0.32866,1.16567,1.67634,1.35854,0.00299435,0.000998116,0.00299435,0.000998116,0.00299435,0.000998116,0.00299435,0.000998116
7,507.548,1.1464,1.80609,1.32697,0.48587,0.51114,0.50108,0.362,1.16843,1.63722,1.37441,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288
8,572.05,1.12673,1.65025,1.32191,0.52225,0.52216,0.51081,0.36776,1.17068,1.58222,1.35905,0.00298893,0.00099631,0.00298893,0.00099631,0.00298893,0.00099631,0.00298893,0.00099631
9,634.914,1.10514,1.53457,1.30624,0.57012,0.51326,0.52968,0.38136,1.15146,1.57252,1.3529,0.00298555,0.000995183,0.00298555,0.000995183,0.00298555,0.000995183,0.00298555,0.000995183
10,698.34,1.0967,1.44343,1.29303,0.56028,0.50573,0.5327,0.38259,1.17527,1.53098,1.3649,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906
11,768.832,1.09227,1.37652,1.29006,0.60028,0.49098,0.53311,0.38347,1.16433,1.5612,1.35664,0.00297744,0.00099248,0.00297744,0.00099248,0.00297744,0.00099248,0.00297744,0.00099248
12,835.501,1.07653,1.29057,1.27645,0.56836,0.52144,0.54625,0.3871,1.17737,1.51216,1.38377,0.00297272,0.000990905,0.00297272,0.000990905,0.00297272,0.000990905,0.00297272,0.000990905
13,903.12,1.06123,1.24485,1.27356,0.58631,0.55997,0.57474,0.40831,1.18232,1.46973,1.39519,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183
14,968.629,1.04777,1.18069,1.26315,0.56007,0.55572,0.5758,0.40253,1.18238,1.46154,1.39957,0.00296194,0.000987313,0.00296194,0.000987313,0.00296194,0.000987313,0.00296194,0.000987313
15,1035.94,1.04219,1.13889,1.25479,0.57455,0.57962,0.59421,0.41529,1.18076,1.46052,1.38789,0.00295589,0.000985296,0.00295589,0.000985296,0.00295589,0.000985296,0.00295589,0.000985296
16,1100.3,1.01218,1.08756,1.23726,0.56387,0.56458,0.57406,0.40123,1.18228,1.46982,1.39315,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133
17,1164.4,0.99642,1.06657,1.23299,0.61561,0.53172,0.58375,0.4101,1.18714,1.44745,1.40295,0.00294247,0.000980825,0.00294247,0.000980825,0.00294247,0.000980825,0.00294247,0.000980825
18,1231.07,1.00246,1.02948,1.2326,0.58088,0.5387,0.56623,0.39775,1.19211,1.49165,1.3878,0.00293511,0.000978371,0.00293511,0.000978371,0.00293511,0.000978371,0.00293511,0.000978371
19,1296.74,0.98562,1.01478,1.22052,0.5745,0.55773,0.57141,0.39877,1.19041,1.51134,1.40237,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773
20,1361.37,0.97348,0.95557,1.21237,0.5551,0.58441,0.57054,0.39794,1.20037,1.4833,1.40614,0.0029191,0.000973032,0.0029191,0.000973032,0.0029191,0.000973032,0.0029191,0.000973032
21,1426.41,0.9869,0.9505,1.22063,0.55817,0.5872,0.5717,0.40561,1.18929,1.49226,1.37567,0.00291044,0.000970148,0.00291044,0.000970148,0.00291044,0.000970148,0.00291044,0.000970148
22,1488.85,0.96769,0.93661,1.21184,0.61013,0.56931,0.59261,0.41775,1.1951,1.47048,1.40436,0.00290137,0.000967122,0.00290137,0.000967122,0.00290137,0.000967122,0.00290137,0.000967122
23,1551.79,0.96396,0.90827,1.20833,0.59954,0.56826,0.57795,0.4105,1.19487,1.49965,1.40338,0.00289187,0.000963956,0.00289187,0.000963956,0.00289187,0.000963956,0.00289187,0.000963956
24,1614.3,0.9265,0.86803,1.18509,0.62092,0.56243,0.58945,0.41522,1.20662,1.4696,1.39145,0.00288195,0.00096065,0.00288195,0.00096065,0.00288195,0.00096065,0.00288195,0.00096065
25,1677.49,0.9318,0.87918,1.18599,0.59611,0.58076,0.59423,0.42224,1.20243,1.51882,1.41748,0.00287162,0.000957205,0.00287162,0.000957205,0.00287162,0.000957205,0.00287162,0.000957205
26,1741.48,0.92916,0.85088,1.18906,0.55638,0.56308,0.57782,0.4083,1.19577,1.48841,1.40766,0.00286087,0.000953622,0.00286087,0.000953622,0.00286087,0.000953622,0.00286087,0.000953622
27,1803.04,0.91956,0.82796,1.18156,0.63302,0.54931,0.58614,0.41254,1.20744,1.53278,1.41955,0.00284971,0.000949903,0.00284971,0.000949903,0.00284971,0.000949903,0.00284971,0.000949903
28,1865.59,0.91347,0.81996,1.17102,0.56384,0.56978,0.58181,0.41146,1.19757,1.49608,1.41787,0.00283814,0.000946048,0.00283814,0.000946048,0.00283814,0.000946048,0.00283814,0.000946048
29,1926.64,0.91231,0.80934,1.17198,0.63043,0.5586,0.60671,0.42588,1.2204,1.47731,1.44385,0.00282618,0.000942059,0.00282618,0.000942059,0.00282618,0.000942059,0.00282618,0.000942059
30,1987.86,0.89556,0.78067,1.17068,0.61378,0.57378,0.59747,0.41762,1.2097,1.52973,1.44779,0.00281381,0.000937937,0.00281381,0.000937937,0.00281381,0.000937937,0.00281381,0.000937937
31,2048.65,0.88224,0.77039,1.15402,0.57899,0.58364,0.59698,0.41915,1.20941,1.51784,1.43232,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683
