epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1117.74,1.39679,6.44184,0.01524,0.00587,0.32473,0.0104,0.00688,1.19314,3.85321,0.01584,0.000596341,0.00019878,0.000596341,0.00019878,0.0807183,0.0803207,0.000596341,0.00019878
2,2022.99,1.31453,5.08543,0.01397,0.35495,0.06345,0.05356,0.03631,1.20104,3.04354,0.01605,0.00119625,0.00039875,0.00119625,0.00039875,0.0613182,0.0605207,0.00119625,0.00039875
3,2926.6,1.28773,4.01159,0.01374,0.32366,0.21025,0.15893,0.11341,1.2046,2.45346,0.016,0.0017958,0.0005986,0.0017958,0.0005986,0.0419178,0.0407206,0.0017958,0.0005986
4,3870.43,1.28411,3.32336,0.01389,0.2856,0.34346,0.27272,0.20034,1.21039,2.14282,0.01623,0.00239472,0.000798239,0.00239472,0.000798239,0.0225167,0.0209202,0.00239472,0.000798239
5,4745.11,1.26756,2.77871,0.01344,0.37898,0.40177,0.34626,0.24938,1.22413,2.01993,0.01653,0.00299273,0.000997576,0.00299273,0.000997576,0.00311468,0.00111953,0.00299273,0.000997576
6,5650.47,1.24815,2.38539,0.01329,0.4034,0.43738,0.40958,0.29101,1.214,1.81462,0.01628,0.00299435,0.000998116,0.00299435,0.000998116,0.00299435,0.000998116,0.00299435,0.000998116
7,6637.9,1.25323,2.18368,0.01329,0.39526,0.47907,0.42742,0.30281,1.22113,1.73633,0.01656,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288
8,7635.77,1.24024,1.96034,0.01318,0.40884,0.48019,0.46724,0.33046,1.21974,1.64803,0.0166,0.00298893,0.00099631,0.00298893,0.00099631,0.00298893,0.00099631,0.00298893,0.00099631
9,8625.58,1.22541,1.83512,0.01322,0.55228,0.4968,0.51275,0.36563,1.19989,1.55444,0.0162,0.00298555,0.000995183,0.00298555,0.000995183,0.00298555,0.000995183,0.00298555,0.000995183
10,9589.27,1.22723,1.75373,0.01276,0.48458,0.5268,0.50345,0.36146,1.22093,1.58395,0.01651,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906
11,10551.1,1.22219,1.64713,0.01277,0.53332,0.50894,0.51512,0.36758,1.20916,1.57054,0.01648,0.00297744,0.00099248,0.00297744,0.00099248,0.00297744,0.00099248,0.00297744,0.00099248
12,11538.5,1.21867,1.53596,0.01261,0.55136,0.54947,0.54096,0.38257,1.19806,1.51676,0.01603,0.00297272,0.000990905,0.00297272,0.000990905,0.00297272,0.000990905,0.00297272,0.000990905
13,12484.3,1.20465,1.48279,0.01263,0.51458,0.55916,0.54427,0.39227,1.20899,1.45883,0.01626,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183
14,13450.5,1.19026,1.41959,0.01222,0.5888,0.55175,0.57062,0.40577,1.21079,1.39274,0.01622,0.00296194,0.000987313,0.00296194,0.000987313,0.00296194,0.000987313,0.00296194,0.000987313
15,14419.5,1.18346,1.3696,0.01209,0.58942,0.55365,0.58172,0.42376,1.20779,1.47781,0.01617,0.00295589,0.000985296,0.00295589,0.000985296,0.00295589,0.000985296,0.00295589,0.000985296
16,15376.6,1.15797,1.29765,0.01216,0.56672,0.54982,0.57105,0.40656,1.21206,1.4458,0.01661,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133
17,16342.3,1.15704,1.27754,0.01206,0.52589,0.56401,0.5516,0.39351,1.22201,1.44102,0.01648,0.00294247,0.000980825,0.00294247,0.000980825,0.00294247,0.000980825,0.00294247,0.000980825
18,17297,1.15384,1.22782,0.01213,0.57623,0.5462,0.56102,0.40272,1.20065,1.49063,0.01621,0.00293511,0.000978371,0.00293511,0.000978371,0.00293511,0.000978371,0.00293511,0.000978371
19,18247.1,1.14872,1.21278,0.01192,0.58751,0.54979,0.56636,0.41018,1.20923,1.47579,0.01628,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773
20,19198.6,1.13698,1.15409,0.01182,0.61291,0.54407,0.57541,0.4141,1.22561,1.46639,0.01668,0.0029191,0.000973032,0.0029191,0.000973032,0.0029191,0.000973032,0.0029191,0.000973032
21,20168.7,1.15194,1.13826,0.01199,0.61489,0.57387,0.59167,0.42041,1.22145,1.47969,0.01695,0.00291044,0.000970148,0.00291044,0.000970148,0.00291044,0.000970148,0.00291044,0.000970148
22,21097.1,1.14164,1.12131,0.0117,0.59375,0.58712,0.58526,0.41957,1.2212,1.42402,0.01658,0.00290137,0.000967122,0.00290137,0.000967122,0.00290137,0.000967122,0.00290137,0.000967122
23,22041.4,1.14261,1.0924,0.01169,0.59214,0.57473,0.57723,0.41592,1.19766,1.46986,0.01616,0.00289187,0.000963956,0.00289187,0.000963956,0.00289187,0.000963956,0.00289187,0.000963956
24,22984.1,1.10775,1.03936,0.01145,0.58218,0.57231,0.56559,0.40503,1.20497,1.46076,0.01622,0.00288195,0.00096065,0.00288195,0.00096065,0.00288195,0.00096065,0.00288195,0.00096065
25,23921.1,1.10736,1.0446,0.01143,0.56662,0.54732,0.5568,0.39747,1.2039,1.54308,0.01612,0.00287162,0.000957205,0.00287162,0.000957205,0.00287162,0.000957205,0.00287162,0.000957205
26,24907.4,1.10125,1.01743,0.01136,0.61596,0.5496,0.58356,0.41824,1.21213,1.49308,0.01619,0.00286087,0.000953622,0.00286087,0.000953622,0.00286087,0.000953622,0.00286087,0.000953622
27,25895.3,1.10302,0.99632,0.01126,0.61882,0.55632,0.58155,0.40528,1.22853,1.44736,0.01679,0.00284971,0.000949903,0.00284971,0.000949903,0.00284971,0.000949903,0.00284971,0.000949903
28,26836.1,1.09444,0.99707,0.01112,0.62072,0.58346,0.5994,0.42414,1.21971,1.45529,0.01667,0.00283814,0.000946048,0.00283814,0.000946048,0.00283814,0.000946048,0.00283814,0.000946048
29,27828.6,1.09271,0.96225,0.01136,0.55261,0.59296,0.59198,0.42108,1.23955,1.50899,0.01707,0.00282618,0.000942059,0.00282618,0.000942059,0.00282618,0.000942059,0.00282618,0.000942059
30,28816.6,1.07758,0.93563,0.01116,0.59378,0.58466,0.60186,0.42525,1.23159,1.49219,0.01691,0.00281381,0.000937937,0.00281381,0.000937937,0.00281381,0.000937937,0.00281381,0.000937937
31,29791,1.0649,0.92753,0.01095,0.61844,0.59085,0.60196,0.42725,1.2325,1.46236,0.01684,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683
32,30734.6,1.07061,0.9371,0.01111,0.59067,0.58751,0.5877,0.42047,1.23368,1.51647,0.01669,0.00278789,0.000929298,0.00278789,0.000929298,0.00278789,0.000929298,0.00278789,0.000929298
33,31703.7,1.05572,0.90398,0.01099,0.60769,0.57126,0.59181,0.42351,1.22303,1.4402,0.01661,0.00277435,0.000924784,0.00277435,0.000924784,0.00277435,0.000924784,0.00277435,0.000924784
34,32660,1.05817,0.90694,0.01102,0.58719,0.58428,0.59668,0.42571,1.22877,1.51165,0.01673,0.00276043,0.000920142,0.00276043,0.000920142,0.00276043,0.000920142,0.00276043,0.000920142
35,33637.7,1.04965,0.86711,0.01076,0.60645,0.56362,0.58305,0.41658,1.22869,1.48069,0.01645,0.00274612,0.000915374,0.00274612,0.000915374,0.00274612,0.000915374,0.00274612,0.000915374
36,34576.9,1.04279,0.85276,0.01038,0.64352,0.56298,0.59501,0.42169,1.24667,1.54494,0.01702,0.00273144,0.00091048,0.00273144,0.00091048,0.00273144,0.00091048,0.00273144,0.00091048
37,35544.3,1.0547,0.88106,0.01066,0.59687,0.58468,0.59093,0.421,1.23584,1.54194,0.01691,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463
38,36511.8,1.04176,0.84307,0.01076,0.63276,0.56079,0.59281,0.41704,1.24472,1.51678,0.0169,0.00270097,0.000900325,0.00270097,0.000900325,0.00270097,0.000900325,0.00270097,0.000900325
39,37475.9,1.01857,0.8383,0.01066,0.61568,0.56771,0.59538,0.4196,1.24248,1.53656,0.01692,0.0026852,0.000895065,0.0026852,0.000895065,0.0026852,0.000895065,0.0026852,0.000895065
40,38431.7,1.03917,0.82891,0.01047,0.68311,0.55084,0.60706,0.43032,1.23778,1.53187,0.01663,0.00266906,0.000889687,0.00266906,0.000889687,0.00266906,0.000889687,0.00266906,0.000889687
41,39374.8,1.01735,0.81082,0.01041,0.61176,0.56116,0.59168,0.42327,1.24617,1.53026,0.0169,0.00265258,0.000884192,0.00265258,0.000884192,0.00265258,0.000884192,0.00265258,0.000884192
42,40365.2,1.01753,0.81692,0.01003,0.64456,0.57765,0.59555,0.42354,1.23506,1.55923,0.01664,0.00263574,0.000878581,0.00263574,0.000878581,0.00263574,0.000878581,0.00263574,0.000878581
43,41308.4,1.00079,0.77009,0.01012,0.62266,0.55384,0.59411,0.42487,1.23729,1.58534,0.01674,0.00261857,0.000872857,0.00261857,0.000872857,0.00261857,0.000872857,0.00261857,0.000872857
44,42283.1,1.00275,0.78316,0.01022,0.6337,0.55151,0.58708,0.4171,1.26358,1.59091,0.01714,0.00260106,0.00086702,0.00260106,0.00086702,0.00260106,0.00086702,0.00260106,0.00086702
