epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,48.3333,1.33607,5.96619,0.0143,0.00739,0.08388,0.00642,0.00425,1.11323,4.18189,0.01477,0.000596341,0.00019878,0.000596341,0.00019878,0.0807183,0.0803207,0.000596341,0.00019878
2,86.3983,1.27356,5.58538,0.01318,0.00988,0.22372,0.02061,0.01369,1.14751,3.86906,0.01501,0.00119625,0.00039875,0.00119625,0.00039875,0.0613182,0.0605207,0.00119625,0.00039875
3,124.291,1.25136,5.07665,0.01306,0.80662,0.04075,0.03837,0.02569,1.17452,3.40989,0.01559,0.0017958,0.0005986,0.0017958,0.0005986,0.0419178,0.0407206,0.0017958,0.0005986
4,159.694,1.25873,4.70766,0.01347,0.31967,0.10738,0.07262,0.04858,1.18717,3.06056,0.01569,0.00239472,0.000798239,0.00239472,0.000798239,0.0225167,0.0209202,0.00239472,0.000798239
5,193.28,1.26885,4.34141,0.01336,0.32479,0.16677,0.12639,0.09137,1.22161,2.7385,0.01636,0.00299273,0.000997576,0.00299273,0.000997576,0.00311468,0.00111953,0.00299273,0.000997576
6,226.734,1.27493,3.99906,0.01349,0.20993,0.2278,0.1724,0.12565,1.22231,2.54093,0.01643,0.00299435,0.000998116,0.00299435,0.000998116,0.00299435,0.000998116,0.00299435,0.000998116
7,259.588,1.29887,3.79914,0.01374,0.27033,0.27789,0.20461,0.14653,1.22444,2.39968,0.01634,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288
8,292.758,1.29458,3.58972,0.01377,0.32862,0.31552,0.25202,0.18588,1.22593,2.25734,0.01661,0.00298893,0.00099631,0.00298893,0.00099631,0.00298893,0.00099631,0.00298893,0.00099631
9,325.917,1.2751,3.46854,0.01372,0.33777,0.32126,0.28141,0.20216,1.23628,2.14911,0.01688,0.00298555,0.000995183,0.00298555,0.000995183,0.00298555,0.000995183,0.00298555,0.000995183
10,360.004,1.28471,3.35123,0.01339,0.33617,0.37445,0.30312,0.21617,1.23571,2.12427,0.01674,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906
11,393.331,1.28195,3.22179,0.01342,0.40106,0.35311,0.31905,0.23042,1.23063,2.05681,0.01667,0.00297744,0.00099248,0.00297744,0.00099248,0.00297744,0.00099248,0.00297744,0.00099248
12,427.377,1.28722,3.09376,0.01345,0.41416,0.38496,0.35496,0.25528,1.21443,1.97766,0.01652,0.00297272,0.000990905,0.00297272,0.000990905,0.00297272,0.000990905,0.00297272,0.000990905
13,461.276,1.27934,3.02968,0.0135,0.38356,0.40475,0.36457,0.26122,1.22813,1.92322,0.01661,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183
14,494.358,1.2689,2.92572,0.01315,0.4209,0.40262,0.38119,0.27798,1.22495,1.88525,0.01666,0.00296194,0.000987313,0.00296194,0.000987313,0.00296194,0.000987313,0.00296194,0.000987313
15,527.439,1.27975,2.84976,0.01323,0.43887,0.40972,0.3916,0.28153,1.2169,1.84295,0.01655,0.00295589,0.000985296,0.00295589,0.000985296,0.00295589,0.000985296,0.00295589,0.000985296
16,560.82,1.24394,2.76775,0.01306,0.43486,0.42584,0.38974,0.27802,1.2182,1.84656,0.01634,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133
17,594.845,1.25174,2.68727,0.01312,0.44613,0.4099,0.40024,0.28804,1.20549,1.80227,0.0162,0.00294247,0.000980825,0.00294247,0.000980825,0.00294247,0.000980825,0.00294247,0.000980825
