epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,67.478,1.48393,7.68694,0.017,0.00488,0.35558,0.00944,0.00636,1.2761,4.10253,0.01773,0.000596341,0.00019878,0.000596341,0.00019878,0.0807183,0.0803207,0.000596341,0.00019878
2,123.656,1.37228,5.11638,0.01495,0.45974,0.06746,0.05956,0.03911,1.2414,3.0962,0.01658,0.00119625,0.00039875,0.00119625,0.00039875,0.0613182,0.0605207,0.00119625,0.00039875
3,177.321,1.33982,3.99924,0.01459,0.30665,0.17064,0.13714,0.09821,1.23608,2.62495,0.01664,0.0017958,0.0005986,0.0017958,0.0005986,0.0419178,0.0407206,0.0017958,0.0005986
4,229.35,1.33183,3.38845,0.01474,0.25809,0.29138,0.23486,0.17234,1.24055,2.31381,0.01676,0.00239472,0.000798239,0.00239472,0.000798239,0.0225167,0.0209202,0.00239472,0.000798239
5,280.534,1.31257,2.90027,0.01418,0.32997,0.36164,0.29713,0.20978,1.24924,2.06718,0.01664,0.00299273,0.000997576,0.00299273,0.000997576,0.00311468,0.00111953,0.00299273,0.000997576
6,332.068,1.29988,2.56713,0.01402,0.4185,0.39546,0.3759,0.2752,1.23774,1.88471,0.01667,0.00299435,0.000998116,0.00299435,0.000998116,0.00299435,0.000998116,0.00299435,0.000998116
7,382.798,1.31377,2.34371,0.01409,0.48724,0.41212,0.42442,0.30303,1.22905,1.77826,0.01645,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288
8,432.933,1.29629,2.12811,0.01386,0.44038,0.45215,0.43279,0.31057,1.23249,1.7003,0.01649,0.00298893,0.00099631,0.00298893,0.00099631,0.00298893,0.00099631,0.00298893,0.00099631
9,483.496,1.27212,2.015,0.01374,0.41583,0.45099,0.44335,0.31326,1.2387,1.70715,0.01689,0.00298555,0.000995183,0.00298555,0.000995183,0.00298555,0.000995183,0.00298555,0.000995183
10,533.982,1.28331,1.93581,0.01354,0.44169,0.48975,0.47919,0.34246,1.23602,1.64609,0.01649,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906
11,584.839,1.27662,1.83173,0.01342,0.51829,0.46292,0.48186,0.3441,1.22564,1.57447,0.0164,0.00297744,0.00099248,0.00297744,0.00099248,0.00297744,0.00099248,0.00297744,0.00099248
12,634.962,1.26281,1.71838,0.01316,0.55959,0.49598,0.50695,0.36289,1.22162,1.56566,0.01621,0.00297272,0.000990905,0.00297272,0.000990905,0.00297272,0.000990905,0.00297272,0.000990905
13,684.753,1.25821,1.67335,0.01335,0.53137,0.53308,0.52602,0.37615,1.2217,1.52315,0.01647,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183
14,735.469,1.24797,1.59469,0.013,0.50285,0.57009,0.54215,0.38798,1.22331,1.47958,0.01636,0.00296194,0.000987313,0.00296194,0.000987313,0.00296194,0.000987313,0.00296194,0.000987313
15,786.698,1.25036,1.55835,0.01299,0.5527,0.53836,0.53959,0.38988,1.22889,1.50178,0.0164,0.00295589,0.000985296,0.00295589,0.000985296,0.00295589,0.000985296,0.00295589,0.000985296
16,837.093,1.21338,1.49155,0.01281,0.53015,0.52589,0.52154,0.37494,1.22438,1.53498,0.01635,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133
17,886.854,1.21858,1.4565,0.01276,0.58072,0.51463,0.5604,0.40501,1.21579,1.45726,0.01616,0.00294247,0.000980825,0.00294247,0.000980825,0.00294247,0.000980825,0.00294247,0.000980825
18,937.072,1.21538,1.43512,0.01288,0.62039,0.52134,0.55891,0.39589,1.22891,1.44533,0.01655,0.00293511,0.000978371,0.00293511,0.000978371,0.00293511,0.000978371,0.00293511,0.000978371
19,987.703,1.20474,1.40613,0.01264,0.52199,0.57209,0.55975,0.40217,1.25338,1.44926,0.01688,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773
20,1038.21,1.21169,1.32756,0.01263,0.58559,0.51826,0.54128,0.39007,1.25587,1.51289,0.01704,0.0029191,0.000973032,0.0029191,0.000973032,0.0029191,0.000973032,0.0029191,0.000973032
21,1088.66,1.22469,1.3117,0.01284,0.55236,0.56392,0.5582,0.40182,1.235,1.4964,0.01667,0.00291044,0.000970148,0.00291044,0.000970148,0.00291044,0.000970148,0.00291044,0.000970148
22,1139.23,1.21015,1.30313,0.01252,0.57322,0.53562,0.5607,0.40003,1.23165,1.47085,0.01652,0.00290137,0.000967122,0.00290137,0.000967122,0.00290137,0.000967122,0.00290137,0.000967122
23,1189.7,1.21299,1.27637,0.01249,0.58059,0.53084,0.55849,0.40426,1.23725,1.46437,0.01669,0.00289187,0.000963956,0.00289187,0.000963956,0.00289187,0.000963956,0.00289187,0.000963956
24,1240.39,1.18436,1.21606,0.01237,0.57757,0.57793,0.58525,0.40793,1.24816,1.4588,0.01694,0.00288195,0.00096065,0.00288195,0.00096065,0.00288195,0.00096065,0.00288195,0.00096065
25,1290.64,1.18027,1.23148,0.0123,0.627,0.53913,0.58178,0.4196,1.22129,1.50651,0.01641,0.00287162,0.000957205,0.00287162,0.000957205,0.00287162,0.000957205,0.00287162,0.000957205
26,1341.38,1.17171,1.20373,0.01215,0.63685,0.52888,0.58036,0.41754,1.2297,1.45364,0.01654,0.00286087,0.000953622,0.00286087,0.000953622,0.00286087,0.000953622,0.00286087,0.000953622
27,1391.69,1.17515,1.16709,0.01201,0.55149,0.56879,0.57739,0.40668,1.23478,1.50287,0.01668,0.00284971,0.000949903,0.00284971,0.000949903,0.00284971,0.000949903,0.00284971,0.000949903
28,1441.92,1.17267,1.16688,0.01203,0.61905,0.55858,0.602,0.43022,1.23715,1.38657,0.01676,0.00283814,0.000946048,0.00283814,0.000946048,0.00283814,0.000946048,0.00283814,0.000946048
29,1492.43,1.17097,1.14349,0.01224,0.5961,0.55068,0.58091,0.41352,1.24533,1.49886,0.01679,0.00282618,0.000942059,0.00282618,0.000942059,0.00282618,0.000942059,0.00282618,0.000942059
30,1542.59,1.14986,1.11363,0.01197,0.61697,0.55411,0.58094,0.41373,1.23725,1.49877,0.01656,0.00281381,0.000937937,0.00281381,0.000937937,0.00281381,0.000937937,0.00281381,0.000937937
31,1593.02,1.15153,1.08371,0.01191,0.59826,0.57967,0.59042,0.4198,1.23623,1.4855,0.01677,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683
32,1643.54,1.15723,1.1076,0.01214,0.58992,0.56089,0.57605,0.40894,1.25615,1.52981,0.01709,0.00278789,0.000929298,0.00278789,0.000929298,0.00278789,0.000929298,0.00278789,0.000929298
33,1695.49,1.13652,1.06315,0.01186,0.59205,0.52753,0.56227,0.40049,1.23736,1.56178,0.01682,0.00277435,0.000924784,0.00277435,0.000924784,0.00277435,0.000924784,0.00277435,0.000924784
34,1746.19,1.14436,1.08228,0.01198,0.6066,0.53965,0.57744,0.41315,1.25024,1.55216,0.01683,0.00276043,0.000920142,0.00276043,0.000920142,0.00276043,0.000920142,0.00276043,0.000920142
35,1796.86,1.14306,1.04088,0.01183,0.54973,0.57097,0.58061,0.41119,1.24498,1.47284,0.01667,0.00274612,0.000915374,0.00274612,0.000915374,0.00274612,0.000915374,0.00274612,0.000915374
36,1846.83,1.13206,1.02269,0.01132,0.62995,0.55952,0.59609,0.42316,1.24701,1.47354,0.01693,0.00273144,0.00091048,0.00273144,0.00091048,0.00273144,0.00091048,0.00273144,0.00091048
37,1896.85,1.15004,1.02796,0.0117,0.59108,0.54025,0.57205,0.40872,1.2353,1.50644,0.01687,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463
38,1947.3,1.12571,1.01174,0.01162,0.56621,0.57363,0.58345,0.41659,1.237,1.51387,0.01662,0.00270097,0.000900325,0.00270097,0.000900325,0.00270097,0.000900325,0.00270097,0.000900325
39,1998.09,1.11544,1.00124,0.01174,0.62671,0.5288,0.58388,0.41564,1.23645,1.53083,0.01662,0.0026852,0.000895065,0.0026852,0.000895065,0.0026852,0.000895065,0.0026852,0.000895065
40,2048.91,1.13193,0.97631,0.01146,0.57991,0.57665,0.59585,0.42549,1.22465,1.51229,0.01637,0.00266906,0.000889687,0.00266906,0.000889687,0.00266906,0.000889687,0.00266906,0.000889687
41,2098.88,1.10849,0.96949,0.01145,0.68972,0.52065,0.59075,0.42623,1.23279,1.55945,0.01659,0.00265258,0.000884192,0.00265258,0.000884192,0.00265258,0.000884192,0.00265258,0.000884192
42,2149.13,1.11685,0.96828,0.01104,0.62636,0.57636,0.60587,0.43533,1.22917,1.5198,0.01656,0.00263574,0.000878581,0.00263574,0.000878581,0.00263574,0.000878581,0.00263574,0.000878581
43,2199,1.10206,0.91845,0.01125,0.63931,0.53439,0.59611,0.42958,1.23583,1.55005,0.01661,0.00261857,0.000872857,0.00261857,0.000872857,0.00261857,0.000872857,0.00261857,0.000872857
44,2248.63,1.10211,0.92792,0.01128,0.62405,0.58853,0.60846,0.43376,1.24502,1.53043,0.01669,0.00260106,0.00086702,0.00260106,0.00086702,0.00260106,0.00086702,0.00260106,0.00086702
45,2299.12,1.11134,0.93272,0.0113,0.59753,0.57904,0.5958,0.4231,1.23887,1.48997,0.0168,0.00258322,0.000861073,0.00258322,0.000861073,0.00258322,0.000861073,0.00258322,0.000861073
46,2349.37,1.07812,0.89919,0.01124,0.6079,0.60157,0.60604,0.42829,1.23882,1.52024,0.01669,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018
47,2400.17,1.0925,0.90537,0.01148,0.58175,0.58466,0.59278,0.42717,1.23899,1.50939,0.01666,0.00254657,0.000848856,0.00254657,0.000848856,0.00254657,0.000848856,0.00254657,0.000848856
48,2451.02,1.10024,0.89939,0.01088,0.6007,0.56671,0.5907,0.41817,1.25589,1.52809,0.01726,0.00252777,0.000842589,0.00252777,0.000842589,0.00252777,0.000842589,0.00252777,0.000842589
49,2501.36,1.07947,0.87898,0.01104,0.62645,0.56105,0.59396,0.42711,1.24188,1.55857,0.01706,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622
